id,handle,title,updated_at,body_html,published_at,sort_order,template_suffix,disjunctive,rules,published_scope,admin_graphql_api_id,image,SEO Title,SEO Description,Remove
417475789023,kingston-value-ram,Kingston Value Ram,2023-05-12T12:45:29-05:00,,2023-05-12T12:45:29-05:00,best-selling,,False,vendor|equals|Kingston Value Ram*and*tag|equals|Kingston Value Ram,web,gid://shopify/Collection/417475789023,,None,,False
417474674911,kleenex,KLEENEX,2023-05-12T12:44:31-05:00,,2023-05-12T12:44:31-05:00,best-selling,,False,vendor|equals|KLEENEX*and*tag|equals|KLEENEX,web,gid://shopify/Collection/417474674911,,,None,False
417467793631,konica-minolta,Konica Minolta,2023-05-12T11:01:13-05:00,,2023-05-12T11:01:13-05:00,best-selling,,False,vendor|equals|Konica Minolta*and*tag|equals|Konica Minolta,web,gid://shopify/Collection/417467793631,,None,None,False
417471267039,koss-corporation,Koss Corporation,2023-05-12T11:02:57-05:00,,2023-05-12T11:02:57-05:00,best-selling,,False,vendor|equals|Koss Corporation*and*tag|equals|Koss Corporation,web,gid://shopify/Collection/417471267039,,,None,False
417474543839,kresto,KRESTO,2023-05-12T12:44:26-05:00,,2023-05-12T12:44:26-05:00,best-selling,,False,vendor|equals|KRESTO*and*tag|equals|KRESTO,web,gid://shopify/Collection/417474543839,,,None,False
417467826399,kyocera-corporation,Kyocera Corporation,2023-05-12T11:01:14-05:00,,2023-05-12T11:01:13-05:00,best-selling,,False,vendor|equals|Kyocera Corporation*and*tag|equals|Kyocera Corporation,web,gid://shopify/Collection/417467826399,,None,None,False
417465172191,label-makers,label-makers,2023-05-12T10:58:26-05:00,,2023-05-12T10:58:25-05:00,best-selling,,False,vendor|equals|label-makers*and*tag|equals|label-makers*and*tag|equals|DYMO*and*tag|equals|dymo*and*tag|equals|office-equipment-supplies*and*tag|equals|in_,web,gid://shopify/Collection/417465172191,,None,None,False
417465729247,laptop-cooling-pads,laptop-cooling-pads,2023-05-12T10:58:40-05:00,,2023-05-12T10:58:40-05:00,best-selling,,False,vendor|equals|laptop-cooling-pads*and*tag|equals|laptop-cooling-pads*and*tag|equals|XEROX*and*tag|equals|xerox*and*tag|equals|pads-protectors*and*tag|equals|office-equipment-supplies*and*tag|equals|in_,web,gid://shopify/Collection/417465729247,,None,None,False
417465106655,laser-printers,laser-printers,2023-05-12T10:58:24-05:00,,2023-05-12T10:58:24-05:00,best-selling,,False,vendor|equals|laser-printers*and*tag|equals|laser-printers*and*tag|equals|XEROX*and*tag|equals|xerox*and*tag|equals|printers*and*tag|equals|laser-inkjet-printers*and*tag|equals|inkjet-ink*and*tag|equals|in_,web,gid://shopify/Collection/417465106655,,None,None,False
417469858015,lasko-products,Lasko Products,2023-05-12T11:02:15-05:00,,2023-05-12T11:02:15-05:00,best-selling,,False,vendor|equals|Lasko Products*and*tag|equals|Lasko Products,web,gid://shopify/Collection/417469858015,,,None,False
417469759711,lenovo-group-limited,Lenovo Group Limited,2023-05-12T11:02:12-05:00,,2023-05-12T11:02:12-05:00,best-selling,,False,vendor|equals|Lenovo Group Limited*and*tag|equals|Lenovo Group Limited,web,gid://shopify/Collection/417469759711,,,None,False
417467859167,lexmark-international-inc,Lexmark International Inc,2023-05-12T11:01:15-05:00,,2023-05-12T11:01:14-05:00,best-selling,,False,vendor|equals|Lexmark International Inc*and*tag|equals|Lexmark International Inc,web,gid://shopify/Collection/417467859167,,None,None,False
417472676063,lg,LG,2023-05-12T11:03:41-05:00,,2023-05-12T11:03:40-05:00,best-selling,,False,vendor|equals|LG*and*tag|equals|LG,web,gid://shopify/Collection/417472676063,,,None,False
417470054623,lg-commercial,LG Commercial,2023-05-12T11:02:21-05:00,,2023-05-12T11:02:21-05:00,best-selling,,False,vendor|equals|LG Commercial*and*tag|equals|LG Commercial,web,gid://shopify/Collection/417470054623,,None,,False
417476280543,lian-li,LIAN-LI,2023-05-12T12:45:56-05:00,,2023-05-12T12:45:55-05:00,best-selling,,False,vendor|equals|LIAN-LI*and*tag|equals|LIAN-LI,web,gid://shopify/Collection/417476280543,,,None,False
417472839903,lifesense,Lifesense,2023-05-12T11:03:46-05:00,,2023-05-12T11:03:45-05:00,best-selling,,False,vendor|equals|Lifesense*and*tag|equals|Lifesense,web,gid://shopify/Collection/417472839903,,,None,False
417469661407,lipper-international-inc,Lipper International Inc,2023-05-12T11:02:09-05:00,,2023-05-12T11:02:09-05:00,best-selling,,False,vendor|equals|Lipper International Inc*and*tag|equals|Lipper International Inc,web,gid://shopify/Collection/417469661407,,,None,False
417467891935,logitech,Logitech,2023-05-12T11:01:16-05:00,,2023-05-12T11:01:15-05:00,best-selling,,False,vendor|equals|Logitech*and*tag|equals|Logitech,web,gid://shopify/Collection/417467891935,,None,None,False
417470513375,logitech-core,Logitech Core,2023-05-12T11:02:35-05:00,,2023-05-12T11:02:35-05:00,best-selling,,False,vendor|equals|Logitech Core*and*tag|equals|Logitech Core,web,gid://shopify/Collection/417470513375,,,None,False
417475657951,logitech-vc,Logitech VC,2023-05-12T12:45:10-05:00,,2023-05-12T12:45:10-05:00,best-selling,,False,vendor|equals|Logitech VC*and*tag|equals|Logitech VC,web,gid://shopify/Collection/417475657951,,,None,False
417472774367,lsi,LSI,2023-05-12T11:03:44-05:00,,2023-05-12T11:03:43-05:00,best-selling,,False,vendor|equals|LSI*and*tag|equals|LSI,web,gid://shopify/Collection/417472774367,,,None,False
417468285151,lysol,LYSOL,2023-05-12T11:01:28-05:00,,2023-05-12T11:01:27-05:00,best-selling,,False,vendor|equals|LYSOL*and*tag|equals|LYSOL,web,gid://shopify/Collection/417468285151,,,None,False
417475821791,magic-chef,Magic Chef;,2023-05-12T12:45:31-05:00,,2023-05-12T12:45:30-05:00,best-selling,,False,vendor|equals|Magic Chef;*and*tag|equals|Magic Chef;,web,gid://shopify/Collection/417475821791,,,None,False
417475133663,manhattan,Manhattan,2023-05-12T12:44:48-05:00,,2023-05-12T12:44:48-05:00,best-selling,,False,vendor|equals|Manhattan*and*tag|equals|Manhattan,web,gid://shopify/Collection/417475133663,,,None,False
417471856863,mantelmount,MANTELMOUNT,2023-05-12T11:03:15-05:00,,2023-05-12T11:03:15-05:00,best-selling,,False,vendor|equals|MANTELMOUNT*and*tag|equals|MANTELMOUNT,web,gid://shopify/Collection/417471856863,,,None,False
